source;type_fact;span;targetWord;Labeler_1 (yes/no);Label_2 (yes/no);Label_3 (yes/no)
https://georgewbush-whitehouse.archives.gov;meet;First of all , we share the same goal that Congressman Baker has .We 've been working with him to make sure that the needs -- and other congressional leaders -- to make sure the needs are met , as I talked about .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;I welcome the opportunity to do this -- but they know the difference between honest critics who question the way the war is being prosecuted -- we welcome that .In fact , the President has met with some of those honest critics .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;QCan I one -- just one follow - up , Scott , because I think just to refresh your memory , when the whole Enron scandal came up , and there were questions about Ken Lay 's ties to President Bush , this White House -- and you may have even worked on this -- under your predecessor provided specific information on White House meetings between Ken Lay and senior staff .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;It 's possible .He has had a number of meetings on the topic already .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN : I did check .There were a few staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I 'll give you a report following the meeting .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , I think that any time you have a nation as open as ours , where you have so many hundreds of millions of people who come to visit this country , and you have so many crossings into this nation , we have a security system that is set up that is really among the best , if not the best in the world .;crossing;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Q 
Does the President have some indication 
 now whether Israel will be a willing partner or a hindrance to this coalition that 's being assembled ? 
";assemble;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And that 's why the President believes he has outlined an approach that will help fix our broken immigration system .It is an approach that is compassionate and humane and helps us meet an important economic need , while also keeping those who come here for the wrong reasons out of our country . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"I had a question about the CBS broadcast tonight , but first of all , could you address the second half of the question about the Voloshin meeting ?Did that meeting produce any movement toward the United States position on the -- 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN :We do n't -- we do n't ever tend to get into those staff - level meetings . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Dan will be at the meeting tomorrow morning .The 
 meeting is an exceptionally small meeting .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;I think that 's what they are at this point , preliminary discussions in the budget process .We 're going to continue to work closely with members of Congress on getting a budget resolution that meets the top line that the President outlined that makes sure -- it makes sure that we fund our priorities as well as holding the line on spending elsewhere in the budget .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;What I was asked is to go and check on this , and I did .And there were only a couple of holiday receptions that he attended , and then a few staff - level meetings on top of that .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Yes , I know .I was in the meeting ; he did not . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;And the Patriot Act has been a vital tool to saving lives .And that 's why the President looks forward to meeting with these U.S. Attorneys and hearing about how they have used the tools within the Patriot Act to disrupt plots and break up terrorist cells .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And he knows guys like Karl Rove .So did he meet with him or not ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you assure us that no one in the administration has ever tried to influence -- not the editorial portion of their broadcasting , but their news gathering areas ? 
 MR .";gathering;No;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN : I do n't know anything about the latter part of your question .In terms of the first part , I think that a number of administration officials have met with the individual you brought up , on a number of occasions . 
";meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , I think if that was said , it ignores the reality , because the President has been leading the way when it comes to making sure that we 're enforcing our borders and that we 're also continuing to be a welcoming society for people that want to come here for the right reasons .And that 's why the President has outlined a comprehensive approach to immigration reform , an approach that is based on continuing to take steps to strengthen our borders , as well as moving forward on a temporary worker program to meet an important economic need .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Really , the President is not the purveyor of that .The President is here really to greet them and to comfort them . 
";greet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"I 'm not sure which day you 're talking about .I 'm not sure if he was even meeting with the President . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I was in synagogue this morning , and so I did not participate in the meeting with the airline people , and in yesterday 's meeting , there was no discussion with the President about minimums .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Yes ,Ari , how long is the meeting scheduled 
 with the Papal envoy , with Cardinal Laghi ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :Well , I indicated yesterday that I think there were some -- a few staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;The meeting will take place this afternoon .This is a follow - up to when the President traveled to Houston , and he met with the families immediately after the memorial service .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you tell us if he met with Karl Rove ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN : I have n't seen that , Elaine .But what I can tell you -- because I 've been in the meetings with the President earlier today -- we are working very closely with Congress as they move forward on these hearings to make sure that they have the information they need to do their job .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :The President looks forward to receiving and greeting the Papal Emissary tomorrow to find out what the message of the Pope is on this topic .;greet;No;;
https://georgewbush-whitehouse.archives.gov;meet;When the President went to England in June , they met at Chequers .They met at the Camp David of England , for example .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , I think if that was said , it ignores the reality , because the President has been leading the way when it comes to making sure that we 're enforcing our borders and that we 're also continuing to be a welcoming society for people that want to come here for the right reasons .And that 's why the President has outlined a comprehensive approach to immigration reform , an approach that is based on continuing to take steps to strengthen our borders , as well as moving forward on a temporary worker program to meet an important economic need .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;I welcome the opportunity to do this -- but they know the difference between honest critics who question the way the war is being prosecuted -- we welcome that .In fact , the President has met with some of those honest critics .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"And the President thinks that one of the reasons there is such hatred in the region is because -- the information has got to be factual , it 's got to honest , otherwise old hatreds will endure . 
And in regard to the specific question you raised , about an article that appeared in the Saudi press , Dr. Condoleezza Rice , the President 's National Security Advisor , brought that up directly in a meeting with the Saudi Ambassador .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"There is a resolution that is sitting there , and the votes are there to refer the matter . 
Remember , the last meeting they had , they called on Iran again to come back to negotiations and act in good faith .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QWhen the President meets the Crown Prince , is he likely to raise concerns on the view expressed by Saudi officials and Saudi media , endorsing suicide bombings -- 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"In terms of the softwood 
 lumber issue 
 , this is something that we 've had a disagreement over .The President has discussed it on a number of occasions when he 's met with the Prime Minister there .";meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :He has not yet met .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"""I think that leaves an inaccurate impression that this is spying on people that are talking about an upcoming PTA meeting within their hometown .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"He 's going to be talking more about that soon . 
We had a good discussion yesterday , in one of a series of meetings that the President has been chairing to talk about these issues , and how we move forward .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;We 're working in partnership with the United Nations .In fact , the core coalition of countries -- which , of course , includes the United States , Japan , India and Australia -- has been meeting regularly and is being joined by United Nations officials , and I believe Mr. Egeland was part of discussions this afternoon .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I think that was reported after the meeting .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :No , he will meet us -- thank you for bringing that up .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"What was the subject -- 
 MR .McCLELLAN : I just indicated earlier to Elisabeth 's questions that we just do n't get into discussing White House staff - level meetings .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Within one week of the attack on the World Trade Center and the Pentagon , and in Pennsylvania , the President visited a mosque here in the Washington community to send a signal that Islam is a peace - loving religion .And throughout the various meetings that the President had with members of Congress , even in the week prior to that , right after the attack , the President urged members of Congress to remind Americans that Arab Americans love our flag just as much as anybody else and that Islam is a religion of peace . 
";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"What got him in the door here ?How did he qualify for meetings here ? 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;One is a meeting with the Vice President of the United States , and as the Vice President said when he traveled through the region , that he would meet with Chairman Arafat if Chairman Arafat took the necessary steps , if and when he performed as far as reducing the violence .Those were the terms the United States had discussed for a meeting with the United States .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QWhat are their views , if you have met with them ? 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN : I 'd encourage you to read -- the Department of Justice put out a pretty detailed list of the consequences of not renewing the Patriot Act .And yesterday -- you were n't here , but the U.S. Attorneys met with the President and they talked about how they have successfully used the tools within the Patriot Act to prevent attacks from happening . 
";meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"I said I 'm checking into it .But as you know , we do n't get into discussing staff - level meetings . 
";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , like I said , and like the President has indicated , we 're not going to prejudge what may take place at the Security Council .The first step is to go forward with this board meeting of the International Atomic Energy Agency .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;No .Again , we do n't get into discussing staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"And that 's why the President believes he has outlined an approach that will help fix our broken immigration system .It is an approach that is compassionate and humane and helps us meet an important economic need , while also keeping those who come here for the wrong reasons out of our country . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"But we 're not going to prejudge what that may be at this point .We 're focused right now on the continuing discussions leading up to the board meeting . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Are you building a partnership with these unions ?Is this a quid pro quo meeting -- appearance for their support for ANWR drilling ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And that 's where the focus was . 
Now , they also had some private time together in between the two meetings .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;And they have continued to move in the wrong direction .They have continued to refuse to come into compliance with what the board spelled out at its last meeting .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Separate question .On the 
 bird flu meeting 
 this afternoon , the President is going to listen -- offer federal help , or ask them what the feds can do to encourage increased capacity .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;We are working closely with Mayor Nagin , we 're working closely with the governors in the region and other mayors and county officials .The President has had a number of meetings in the region with these officials to look at issues like this .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;QOf course you do , whenever you want to discuss staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;MR .McCLELLAN : I have n't seen his comments , but I know that this is something that the two leaders have discussed in each and every meeting that they 've had .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , the agenda -- the meeting is a month off .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And he knows guys like Karl Rove .So did he meet with him or not ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Or is -- the President has spoken with President Fox in the past few days today ?Or if there 's any meeting scheduled for any time ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;I 'll react -- you 're talking about the draft anti - secession law that was outlined today .We view it as unhelpful and something that runs counter to recent trends toward a warming in cross - strait relations .;cross;No;;
https://georgewbush-whitehouse.archives.gov;meet;What I was asked is to go and check on this , and I did .And there were only a couple of holiday receptions that he attended , and then a few staff - level meetings on top of that .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN :No , this was something we 've been looking at scheduling for a while , and he 's met with previous victims of the regime , as well . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;I think what you 'll see is , one , the President welcomes the visit of the Papal Emissary .He thinks it 's very important to receive and to greet the Pope 's envoy .;greet;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :Well , he 's had some meetings and he had a speech a short time ago , so he 's had a pretty full schedule this morning .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;We are speaking with a clear unity of purpose .That 's what came out of the meetings last week .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;QOf course you do , whenever you want to discuss staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Q Periodically , the President has receptions for fundraisers , Pioneers , sometimes here , usually -- often at the ranch adjacent to his down in Crawford .Are you looking into also whether Abramoff might have been at one of those meetings ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"MR .McCLELLAN : I do n't get into discussing staff - level meetings . 
";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Which I 'm not going to get into .No , I just told you in general that we have an obligation to the American people to gather intelligence that will help prevent attacks from happening in the first place .;gather;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QAnd then one other one , on the 
 meeting with the Secretaries 
 this morning .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"The Middlebury piece can get struck from the record , if you so desire . 
Tuesday morning , the President will meet with the Prime Minister of Bulgaria in the Oval Office .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"It also calls on all countries to do more to control their borders .And so we expect those commitments to be followed up on and met . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And I do n't think getting into discussion about this -- discussing this , is fair to anybody beyond responding to what your question was . 
As a general matter , there were just a few staff level meetings and a couple of holiday receptions , is what I 've been able to learn .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"And he knows guys like Karl Rove .So did he meet with him or not ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And then he has a United States reception that evening . 
On Wednesday , he will meet with the President of Pakistan .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"But we 're not going to prejudge what that may be at this point .We 're focused right now on the continuing discussions leading up to the board meeting . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :Well , he 's had some meetings and he had a speech a short time ago , so he 's had a pretty full schedule this morning .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;We are working closely with Mayor Nagin , we 're working closely with the governors in the region and other mayors and county officials .The President has had a number of meetings in the region with these officials to look at issues like this .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;QWhat are their views on the bill , if you have met with them ?;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;If you recall , Prime Minister Blair and President Aznar met before Prime Minister Blair came to the United States .President Berlusconi , upon his departure from the United States , after he met with President Bush , went to meet with President Putin in Moscow .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Tomorrow the President and Mrs. Bush look forward to welcoming His Holiness the Dalai Lama to the White House .He 's met with him on a number of occasions before , and they will talk about issues relating to Tibet .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"I tell you that our commanders would be in the best position to answer that question because they reject such a characterization very strongly . 
There was some discussion , actually , in the meeting about the Guard and Reserves and troop levels .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"And I do n't think getting into discussion about this -- discussing this , is fair to anybody beyond responding to what your question was . 
As a general matter , there were just a few staff level meetings and a couple of holiday receptions , is what I 've been able to learn .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;QIn limiting this battle against terrorism to groups which threaten the United States , what incentive is there for the international coalition the President is trying to assemble to join in ?;assemble;No;;
https://georgewbush-whitehouse.archives.gov;meet;"That 's why you see President Bush doing something that-- I do n't know that it was done before -- regular weekly meetings with the opposition leaders , with the Democrat leaders of the Senate ; and , of course , with the Republican leaders of the House and the Senate .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I was in synagogue this morning , and so I did not participate in the meeting with the airline people , and in yesterday 's meeting , there was no discussion with the President about minimums .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , like I said , and like the President has indicated , we 're not going to prejudge what may take place at the Security Council .The first step is to go forward with this board meeting of the International Atomic Energy Agency .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :No , he was meeting with Turkish officials at the time , or for a portion of when they spoke .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QBut have you been able to more clearly determine whether the President ever met Abramoff at any of these White House -- 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , the agenda -- the meeting is a month off .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Q Okay , you talked about the Hanukkah receptions .Can you talk about the staff - level meetings and what years those were , or -- 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN :No , was n't discussed in this meeting . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Q Scott , a two - part .With regard to reports of the President meeting with Secretary Rumsfeld , considering the just concluded fast of an Episcopal Navy chaplain , why has n't the President , as Commander - in - Chief , ordered the United States Navy to stop any action whatsoever against Christian chaplains who mention Christ , Jewish chaplains who mention God , and Muslim chaplains who mention Mohammed ? 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"When you talk about human rights and killing Iraqis , you can look first to Saddam Hussein as the world 's worst human rights violator , one of the world 's worst human rights violators , who has killed his own people . 
Today , for example , when the President meets with the Commissioner on Human Rights , I anticipate one of the topics the President will raise is the horrendous treatment of the Iraqi people , the repression of the Iraqi people by Saddam Hussein , which includes killing those who would have any disagreement with him . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Yes , I know .I was in the meeting ; he did not . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And that 's why the President believes he has outlined an approach that will help fix our broken immigration system .It is an approach that is compassionate and humane and helps us meet an important economic need , while also keeping those who come here for the wrong reasons out of our country . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;No .Again , we do n't get into discussing staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;The meeting will take place this afternoon .This is a follow - up to when the President traveled to Houston , and he met with the families immediately after the memorial service .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"So I wonder if you -- 
 MR .McCLELLAN : I think there will be representatives from the Pentagon represented at this meeting -- or at this briefing . 
";meeting;No;;
